Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total_x,Rounds_x,SG Total_y,Scrambling,Rounds_y
Cameron Young,0.16,0.27,1.48,4.97,5.13,1,5.31,0.75,1.0
Cameron Young,0.16,0.27,1.48,4.97,5.13,1,5.385,0.83,2.0
Cameron Young,0.16,0.27,1.48,4.97,5.13,1,-0.534,0.5,3.0
Cameron Young,0.16,0.27,1.48,4.97,5.13,1,4.671,1.0,4.0
Cameron Young,0.82,1.26,1.28,4.56,5.38,2,5.31,0.75,1.0
Cameron Young,0.82,1.26,1.28,4.56,5.38,2,5.385,0.83,2.0
Cameron Young,0.82,1.26,1.28,4.56,5.38,2,-0.534,0.5,3.0
Cameron Young,0.82,1.26,1.28,4.56,5.38,2,4.671,1.0,4.0
Cameron Young,2.37,-2.49,-0.66,-2.9,-0.53,3,5.31,0.75,1.0
Cameron Young,2.37,-2.49,-0.66,-2.9,-0.53,3,5.385,0.83,2.0
Cameron Young,2.37,-2.49,-0.66,-2.9,-0.53,3,-0.534,0.5,3.0
Cameron Young,2.37,-2.49,-0.66,-2.9,-0.53,3,4.671,1.0,4.0
Cameron Young,1.46,0.65,0.97,3.21,4.67,4,5.31,0.75,1.0
Cameron Young,1.46,0.65,0.97,3.21,4.67,4,5.385,0.83,2.0
Cameron Young,1.46,0.65,0.97,3.21,4.67,4,-0.534,0.5,3.0
Cameron Young,1.46,0.65,0.97,3.21,4.67,4,4.671,1.0,4.0
Matt Fitzpatrick,1.66,1.67,-0.33,1.47,3.13,1,3.131,0.556,1.0
Matt Fitzpatrick,1.66,1.67,-0.33,1.47,3.13,1,3.385,0.8333,2.0
Matt Fitzpatrick,1.66,1.67,-0.33,1.47,3.13,1,2.466,0.5,3.0
Matt Fitzpatrick,1.66,1.67,-0.33,1.47,3.13,1,4.671,0.75,4.0
Matt Fitzpatrick,-0.69,1.84,0.91,4.08,3.38,2,3.131,0.556,1.0
Matt Fitzpatrick,-0.69,1.84,0.91,4.08,3.38,2,3.385,0.8333,2.0
Matt Fitzpatrick,-0.69,1.84,0.91,4.08,3.38,2,2.466,0.5,3.0
Matt Fitzpatrick,-0.69,1.84,0.91,4.08,3.38,2,4.671,0.75,4.0
Matt Fitzpatrick,-0.08,0.09,1.32,2.54,2.47,3,3.131,0.556,1.0
Matt Fitzpatrick,-0.08,0.09,1.32,2.54,2.47,3,3.385,0.8333,2.0
Matt Fitzpatrick,-0.08,0.09,1.32,2.54,2.47,3,2.466,0.5,3.0
Matt Fitzpatrick,-0.08,0.09,1.32,2.54,2.47,3,4.671,0.75,4.0
Matt Fitzpatrick,0.59,0.59,1.49,4.08,4.67,4,3.131,0.556,1.0
Matt Fitzpatrick,0.59,0.59,1.49,4.08,4.67,4,3.385,0.8333,2.0
Matt Fitzpatrick,0.59,0.59,1.49,4.08,4.67,4,2.466,0.5,3.0
Matt Fitzpatrick,0.59,0.59,1.49,4.08,4.67,4,4.671,0.75,4.0
Xander Schauffele,0,0.24,-1.38,4.13,4.13,1,4.131,0.75,1.0
Xander Schauffele,0,0.24,-1.38,4.13,4.13,1,7.385,1.0,2.0
Xander Schauffele,0,0.24,-1.38,4.13,4.13,1,-2.534,0.7,3.0
Xander Schauffele,0,0.24,-1.38,4.13,4.13,1,3.671,0.8333,4.0
Xander Schauffele,1.58,0.27,2.93,5.8,7.38,2,4.131,0.75,1.0
Xander Schauffele,1.58,0.27,2.93,5.8,7.38,2,7.385,1.0,2.0
Xander Schauffele,1.58,0.27,2.93,5.8,7.38,2,-2.534,0.7,3.0
Xander Schauffele,1.58,0.27,2.93,5.8,7.38,2,3.671,0.8333,4.0
Xander Schauffele,-0.58,-1.66,1.23,-1.95,-2.53,3,4.131,0.75,1.0
Xander Schauffele,-0.58,-1.66,1.23,-1.95,-2.53,3,7.385,1.0,2.0
Xander Schauffele,-0.58,-1.66,1.23,-1.95,-2.53,3,-2.534,0.7,3.0
Xander Schauffele,-0.58,-1.66,1.23,-1.95,-2.53,3,3.671,0.8333,4.0
Xander Schauffele,1.66,1.58,-0.71,2.01,3.67,4,4.131,0.75,1.0
Xander Schauffele,1.66,1.58,-0.71,2.01,3.67,4,7.385,1.0,2.0
Xander Schauffele,1.66,1.58,-0.71,2.01,3.67,4,-2.534,0.7,3.0
Xander Schauffele,1.66,1.58,-0.71,2.01,3.67,4,3.671,0.8333,4.0
Robert Macintyre,0.73,0.14,0.96,0.4,1.13,1,,,
Robert Macintyre,0.07,-0.95,0.78,0.31,0.39,2,,,
Robert Macintyre,2.58,2.11,1.47,3.89,6.47,3,,,
Robert Macintyre,1.21,0.64,0.44,2.47,3.67,4,,,
Ludvig Aberg,0.81,-0.6,2.39,3.32,4.13,1,4.131,1.0,1.0
Ludvig Aberg,0.81,-0.6,2.39,3.32,4.13,1,9.385,0.8,2.0
Ludvig Aberg,0.81,-0.6,2.39,3.32,4.13,1,0.466,0.8,3.0
Ludvig Aberg,0.81,-0.6,2.39,3.32,4.13,1,-3.329,0.5556,4.0
Ludvig Aberg,2.13,1.56,1.69,7.26,9.38,2,4.131,1.0,1.0
Ludvig Aberg,2.13,1.56,1.69,7.26,9.38,2,9.385,0.8,2.0
Ludvig Aberg,2.13,1.56,1.69,7.26,9.38,2,0.466,0.8,3.0
Ludvig Aberg,2.13,1.56,1.69,7.26,9.38,2,-3.329,0.5556,4.0
Ludvig Aberg,-0.18,-0.11,0.18,0.65,0.47,3,4.131,1.0,1.0
Ludvig Aberg,-0.18,-0.11,0.18,0.65,0.47,3,9.385,0.8,2.0
Ludvig Aberg,-0.18,-0.11,0.18,0.65,0.47,3,0.466,0.8,3.0
Ludvig Aberg,-0.18,-0.11,0.18,0.65,0.47,3,-3.329,0.5556,4.0
Ludvig Aberg,-1.33,0.63,-0.16,-1.99,-3.33,4,4.131,1.0,1.0
Ludvig Aberg,-1.33,0.63,-0.16,-1.99,-3.33,4,9.385,0.8,2.0
Ludvig Aberg,-1.33,0.63,-0.16,-1.99,-3.33,4,0.466,0.8,3.0
Ludvig Aberg,-1.33,0.63,-0.16,-1.99,-3.33,4,-3.329,0.5556,4.0
Jacob Bridgeman,2.43,-1.05,0.52,0.7,3.13,1,3.131,0.3333,1.0
Jacob Bridgeman,2.43,-1.05,0.52,0.7,3.13,1,4.385,0.75,2.0
Jacob Bridgeman,2.43,-1.05,0.52,0.7,3.13,1,0.466,0.75,3.0
Jacob Bridgeman,2.43,-1.05,0.52,0.7,3.13,1,2.671,0.0,4.0
Jacob Bridgeman,3.26,0.54,0.69,1.12,4.38,2,3.131,0.3333,1.0
Jacob Bridgeman,3.26,0.54,0.69,1.12,4.38,2,4.385,0.75,2.0
Jacob Bridgeman,3.26,0.54,0.69,1.12,4.38,2,0.466,0.75,3.0
Jacob Bridgeman,3.26,0.54,0.69,1.12,4.38,2,2.671,0.0,4.0
Jacob Bridgeman,1.29,2.64,0.2,-0.82,0.47,3,3.131,0.3333,1.0
Jacob Bridgeman,1.29,2.64,0.2,-0.82,0.47,3,4.385,0.75,2.0
Jacob Bridgeman,1.29,2.64,0.2,-0.82,0.47,3,0.466,0.75,3.0
Jacob Bridgeman,1.29,2.64,0.2,-0.82,0.47,3,2.671,0.0,4.0
Jacob Bridgeman,2.77,-0.85,1.66,-0.1,2.67,4,3.131,0.3333,1.0
Jacob Bridgeman,2.77,-0.85,1.66,-0.1,2.67,4,4.385,0.75,2.0
Jacob Bridgeman,2.77,-0.85,1.66,-0.1,2.67,4,0.466,0.75,3.0
Jacob Bridgeman,2.77,-0.85,1.66,-0.1,2.67,4,2.671,0.0,4.0
Sudarshan Yellamaraju,-0.06,-0.16,-0.34,0.19,0.13,1,0.131,0.5,1.0
Sudarshan Yellamaraju,-0.06,-0.16,-0.34,0.19,0.13,1,0.385,0.6667,2.0
Sudarshan Yellamaraju,-0.06,-0.16,-0.34,0.19,0.13,1,5.466,1.0,3.0
Sudarshan Yellamaraju,-0.06,-0.16,-0.34,0.19,0.13,1,4.671,0.3333,4.0
Sudarshan Yellamaraju,1.5,-1.49,1.27,-1.11,0.39,2,0.131,0.5,1.0
Sudarshan Yellamaraju,1.5,-1.49,1.27,-1.11,0.39,2,0.385,0.6667,2.0
Sudarshan Yellamaraju,1.5,-1.49,1.27,-1.11,0.39,2,5.466,1.0,3.0
Sudarshan Yellamaraju,1.5,-1.49,1.27,-1.11,0.39,2,4.671,0.3333,4.0
Sudarshan Yellamaraju,2.52,0.01,0.93,2.95,5.47,3,0.131,0.5,1.0
Sudarshan Yellamaraju,2.52,0.01,0.93,2.95,5.47,3,0.385,0.6667,2.0
Sudarshan Yellamaraju,2.52,0.01,0.93,2.95,5.47,3,5.466,1.0,3.0
Sudarshan Yellamaraju,2.52,0.01,0.93,2.95,5.47,3,4.671,0.3333,4.0
Sudarshan Yellamaraju,1.54,-0.26,0.67,3.13,4.67,4,0.131,0.5,1.0
Sudarshan Yellamaraju,1.54,-0.26,0.67,3.13,4.67,4,0.385,0.6667,2.0
Sudarshan Yellamaraju,1.54,-0.26,0.67,3.13,4.67,4,5.466,1.0,3.0
Sudarshan Yellamaraju,1.54,-0.26,0.67,3.13,4.67,4,4.671,0.3333,4.0
Justin Thomas,2.56,0.49,1.59,2.57,5.13,1,5.131,0.8,1.0
Justin Thomas,2.56,0.49,1.59,2.57,5.13,1,4.385,0.6667,2.0
Justin Thomas,2.56,0.49,1.59,2.57,5.13,1,-0.534,0.5,3.0
Justin Thomas,2.56,0.49,1.59,2.57,5.13,1,0.671,0.6667,4.0
Justin Thomas,1.62,1.01,-0.03,2.77,4.38,2,5.131,0.8,1.0
Justin Thomas,1.62,1.01,-0.03,2.77,4.38,2,4.385,0.6667,2.0
Justin Thomas,1.62,1.01,-0.03,2.77,4.38,2,-0.534,0.5,3.0
Justin Thomas,1.62,1.01,-0.03,2.77,4.38,2,0.671,0.6667,4.0
Justin Thomas,0.45,-0.3,-1.46,-0.99,-0.53,3,5.131,0.8,1.0
Justin Thomas,0.45,-0.3,-1.46,-0.99,-0.53,3,4.385,0.6667,2.0
Justin Thomas,0.45,-0.3,-1.46,-0.99,-0.53,3,-0.534,0.5,3.0
Justin Thomas,0.45,-0.3,-1.46,-0.99,-0.53,3,0.671,0.6667,4.0
Justin Thomas,-0.36,0.06,-1.56,1.03,0.67,4,5.131,0.8,1.0
Justin Thomas,-0.36,0.06,-1.56,1.03,0.67,4,4.385,0.6667,2.0
Justin Thomas,-0.36,0.06,-1.56,1.03,0.67,4,-0.534,0.5,3.0
Justin Thomas,-0.36,0.06,-1.56,1.03,0.67,4,0.671,0.6667,4.0
Tommy Fleetwood,-0.3,1.22,1.36,4.43,4.13,1,4.131,0.25,1.0
Tommy Fleetwood,-0.3,1.22,1.36,4.43,4.13,1,2.385,0.5714,2.0
Tommy Fleetwood,-0.3,1.22,1.36,4.43,4.13,1,-1.534,0.6,3.0
Tommy Fleetwood,-0.3,1.22,1.36,4.43,4.13,1,4.671,0.6667,4.0
Tommy Fleetwood,1.22,-0.18,0.85,1.16,2.38,2,4.131,0.25,1.0
Tommy Fleetwood,1.22,-0.18,0.85,1.16,2.38,2,2.385,0.5714,2.0
Tommy Fleetwood,1.22,-0.18,0.85,1.16,2.38,2,-1.534,0.6,3.0
Tommy Fleetwood,1.22,-0.18,0.85,1.16,2.38,2,4.671,0.6667,4.0
